player id,team id,player,team,posicion,Edad,appearances,minutesPlayed,rating,goals,assists,goalsAssistsSum,penaltyGoals,expectedGoals,expectedAssists,totalShots,shotsOnTarget,shotsOffTarget,bigChancesCreated,keyPasses,totalPasses,accuratePassesPercentage,successfulDribbles,tackles,interceptions,ballRecovery,clearances,blockedShots,totalDuelsWon,duelLost,wasFouled,fouls,yellowCards,redCards,ownGoals,goals_per90,assists_per90,goalsAssistsSum_per90,expectedGoals_per90,expectedAssists_per90,totalShots_per90,shotsOnTarget_per90,keyPasses_per90,successfulDribbles_per90,tackles_per90,interceptions_per90,ballRecovery_per90,totalDuelsWon_per90,wasFouled_per90,fouls_per90,yellowCards_per90,redCards_per90
933157,112497,Julián Navas Granados,Los Andes,Defensor,32,21,1824.0,7.01,2,1,3.0,0,,,21.0,4.0,,,10.0,615.0,66.67,7.0,,,207.0,61.0,6.0,172.0,142.0,11.0,25.0,6,1,0.0,0.1,0.05,0.15,,,1.04,0.2,0.49,0.35,,,10.21,8.49,0.54,1.23,0.3,0.05
1887188,52215,Enzo Gonzalez,Defensores de Belgrano,Delantero,25,22,1641.0,7.0,6,0,5.0,1,,,32.0,18.0,,,9.0,276.0,60.51,12.0,,,63.0,20.0,2.0,183.0,223.0,28.0,16.0,3,1,0.0,0.33,0.0,0.27,,,1.76,0.99,0.49,0.66,,,3.46,10.04,1.54,0.88,0.16,0.05
1085344,53799,Jere Puch,Atlanta,Mediocampista,27,21,1433.0,7.0,4,2,6.0,0,,,28.0,9.0,,,29.0,602.0,73.26,22.0,,,101.0,3.0,0.0,162.0,202.0,39.0,39.0,5,0,0.0,0.25,0.13,0.38,,,1.76,0.57,1.82,1.38,,,6.34,10.17,2.45,2.45,0.31,0.0
860053,112493,Federico Marín,Colegiales,Mediocampista,28,25,2244.0,7.0,0,0,0.0,0,,,13.0,4.0,,,7.0,857.0,79.35,4.0,,,428.0,89.0,7.0,360.0,258.0,26.0,60.0,4,0,0.0,0.0,0.0,0.0,,,0.52,0.16,0.28,0.16,,,17.17,14.44,1.04,2.41,0.16,0.0
2509688,23950,Alejandro Galvan,San Martín de Tucumán,Defensor,,4,360.0,7.0,0,0,0.0,0,,,0.0,0.0,,,0.0,121.0,85.95,0.0,,,37.0,14.0,0.0,15.0,8.0,0.0,1.0,2,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,9.25,3.75,0.0,0.25,0.5,0.0
1894115,36841,Leandro Peña Biafore,Club Ferro Carril Oeste,Defensor,23,7,558.0,7.0,0,0,0.0,0,,,3.0,0.0,,,0.0,173.0,79.77,2.0,,,91.0,51.0,2.0,58.0,41.0,8.0,8.0,2,0,1.0,0.0,0.0,0.0,,,0.48,0.0,0.0,0.32,,,14.68,9.35,1.29,1.29,0.32,0.0
936348,252726,Ricardo Garay,Chaco For Ever,Defensor,29,19,1551.0,7.0,0,0,0.0,0,,,4.0,1.0,,,0.0,418.0,72.49,0.0,,,235.0,94.0,10.0,143.0,77.0,12.0,21.0,4,0,0.0,0.0,0.0,0.0,,,0.23,0.06,0.0,0.0,,,13.64,8.3,0.7,1.22,0.23,0.0
932094,43740,Marcos Abreliano,Almirante Brown,Defensor,28,26,1711.0,7.0,2,4,6.0,0,,,21.0,8.0,,,28.0,605.0,64.79,29.0,,,132.0,32.0,2.0,164.0,192.0,30.0,24.0,2,1,0.0,0.11,0.21,0.32,,,1.1,0.42,1.47,1.53,,,6.94,8.63,1.58,1.26,0.11,0.05
1802491,213361,Roman Gamarra,San Telmo,Defensor,24,26,1458.0,7.0,0,0,0.0,0,,,30.0,12.0,,,13.0,550.0,68.55,16.0,,,188.0,40.0,0.0,162.0,146.0,31.0,15.0,4,0,0.0,0.0,0.0,0.0,,,1.85,0.74,0.8,0.99,,,11.6,10.0,1.91,0.93,0.25,0.0
1469369,93107,Jorge Benítez,Estudiantes de Buenos Aires,Defensor,32,26,2266.0,7.0,0,0,0.0,0,,,6.0,2.0,,,4.0,916.0,76.64,2.0,,,318.0,151.0,8.0,210.0,110.0,9.0,19.0,5,1,1.0,0.0,0.0,0.0,,,0.24,0.08,0.16,0.08,,,12.63,8.34,0.36,0.75,0.2,0.04
